id,item_group_id,title,description,availability,condition,price,sale_price,link,image_link,brand,product_type,color,size,custom_label_0
"52945753538871","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Black_49701276-03ed-49ef-87ce-d444f1eecec3.jpg?v=1788604240","Vonstrik","T-SHIRT","Black","S",""
"52945753571639","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Black_49701276-03ed-49ef-87ce-d444f1eecec3.jpg?v=1788604240","Vonstrik","T-SHIRT","Black","M",""
"52945753604407","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Black_49701276-03ed-49ef-87ce-d444f1eecec3.jpg?v=1788604240","Vonstrik","T-SHIRT","Black","L",""
"52945753637175","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Black_49701276-03ed-49ef-87ce-d444f1eecec3.jpg?v=1788604240","Vonstrik","T-SHIRT","Black","XL",""
"52945753669943","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Black_49701276-03ed-49ef-87ce-d444f1eecec3.jpg?v=1788604240","Vonstrik","T-SHIRT","Black","2XL",""
"52945753702711","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Black_49701276-03ed-49ef-87ce-d444f1eecec3.jpg?v=1788604240","Vonstrik","T-SHIRT","Black","3XL",""
"52945753735479","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Navy_d861ae97-7790-414d-adbe-426d2036c8c3.jpg?v=1788604240","Vonstrik","T-SHIRT","Navy","S",""
"52945753768247","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Navy_d861ae97-7790-414d-adbe-426d2036c8c3.jpg?v=1788604240","Vonstrik","T-SHIRT","Navy","M",""
"52945753801015","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Navy_d861ae97-7790-414d-adbe-426d2036c8c3.jpg?v=1788604240","Vonstrik","T-SHIRT","Navy","L",""
"52945753833783","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Navy_d861ae97-7790-414d-adbe-426d2036c8c3.jpg?v=1788604240","Vonstrik","T-SHIRT","Navy","XL",""
"52945753866551","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Navy_d861ae97-7790-414d-adbe-426d2036c8c3.jpg?v=1788604240","Vonstrik","T-SHIRT","Navy","2XL",""
"52945753899319","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Navy_d861ae97-7790-414d-adbe-426d2036c8c3.jpg?v=1788604240","Vonstrik","T-SHIRT","Navy","3XL",""
"52945753932087","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Maroon_517b9cd5-62e3-4f83-bf16-fb7c0672bf1b.jpg?v=1788604240","Vonstrik","T-SHIRT","Maroon","S",""
"52945753964855","10952370356535","Renewed T-Shirt","You've now found the staple t-shirt of your wardrobe. It's made of 100% ring-spun cotton and is soft and comfy. The double stitching on the neckline and sleeves add more durability to what is sure to be a favorite! • 100% ring-spun cotton • Sport Grey is 90% ring-spun cotton, 10% polyester • Dark Heather & Heather colors are 65% polyester, 35% cotton • Graphite Heather is 50% polyester, 50% cotton • 4.5 oz/yd² (153 g/m²) • Shoulder-to-shoulder taping • Quarter-turned to avoid crease down the center • Blank product sourced from Bangladesh, Nicaragua, Honduras, Dominican Republic, Haiti or Guatemala Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.","in stock","new","39.95 USD","29.95 USD","https://vonstrik.com/products/renewed-t-shirt-1","https://cdn.shopify.com/s/files/1/1000/1380/1783/files/Maroon_517b9cd5-62e3-4f83-bf16-fb7c0672bf1b.jpg?v=1788604240","Vonstrik","T-SHIRT","Maroon","M",""
